"id","image_id","response","create_dt","session_id"
13799,43,-1,"2022-03-07 00:19:43","2df12290-a40d-41cc-9cb9-fc1008ce35b4"
13800,21,1,"2022-03-07 00:39:38","02e03e21-1015-4e2a-b325-ddde7be83120"
13801,127,0,"2022-03-07 03:02:13","518f8496-012d-4c61-b575-e728aadc7d77"
13802,31,1,"2022-03-07 03:11:01","1c8cf0f3-6257-4629-99b7-2620a437c0b2"
13803,371,1,"2022-03-07 03:52:35","5fcdccbf-b86f-44b5-95c7-64553aa600ba"
13804,138,1,"2022-03-07 03:59:41",d2cf2bf6-5cce-47ca-9431-3f202c3d08fc
13805,326,-1,"2022-03-07 04:06:36","47d4bf36-0ca0-43a5-8941-4d23be9e7e3b"
13806,36,-1,"2022-03-07 04:13:48",a0814d0d-47b0-474b-8d3c-fc16b51aba9d
13807,59,-1,"2022-03-07 04:24:31",b814f972-bb56-4261-b5c0-6b233a8a1968
13808,358,-1,"2022-03-07 04:44:48","666f4ff4-12e3-436a-8b84-4793bacc6e21"
13809,23,-1,"2022-03-07 04:52:02",b0446144-835b-4ad9-9bd9-5f819693ddac
13810,374,1,"2022-03-07 05:08:18",b29947c4-a044-4dca-9972-7865e5f81438
13811,24,-1,"2022-03-07 05:15:22","3cf6398e-94e7-4049-917d-5a6ada38d2e0"
13812,374,-1,"2022-03-07 05:22:38","9452aeaa-be4e-4af5-abec-a52ec2494e0b"
13813,86,1,"2022-03-07 05:33:40","68fbbd51-e537-4b20-b1b8-0691f50b69d4"
13814,122,1,"2022-03-07 05:53:57",e64518bb-44f7-4429-bce4-cd1ad5a151c4
13815,99,1,"2022-03-07 06:12:13","97eaa36f-b071-4865-9a38-a2576b77efa3"
13816,333,1,"2022-03-07 07:23:05","77164415-5290-429b-a599-fee10785e60f"
13817,22,1,"2022-03-07 07:32:46","5f775abd-128d-4fa7-874d-89c0e15a80df"
13818,103,0,"2022-03-07 07:39:52","3415d428-86ce-43bf-ac5f-5130976754ff"
13819,160,-1,"2022-03-07 07:46:24","9abbb145-53f2-4a21-a88d-b0658fc4e744"
13820,324,1,"2022-03-07 07:53:22","5bd9b186-c8c0-4d22-b264-56983aed8bd3"
13821,59,1,"2022-03-07 08:05:10",bbe15362-c296-4906-83e7-25c61e5425a5
13822,367,0,"2022-03-07 09:30:28","0b36783b-7ada-4f96-91fd-935e97879887"
13823,20,-1,"2022-03-07 09:44:13","4f37a585-e8bf-4a3d-92ad-93393041da4b"
13824,387,0,"2022-03-07 10:04:39",e284c969-5d56-4da4-81bc-2d6f64756111
13825,151,-1,"2022-03-07 10:11:04","4ae43d3f-941a-44ec-bbd4-9e7716141333"
13826,137,0,"2022-03-07 10:46:48","086dd4c7-2e98-44b6-a45b-f9de7cad69b5"
13827,124,0,"2022-03-07 10:57:24",c2ebf895-c5cb-4e61-9add-aa5c5306b2c6
13828,95,1,"2022-03-07 11:31:15","93a821c3-c5fd-4aa5-9aae-87fdb4165e13"
13829,27,0,"2022-03-07 12:01:57",c792df6a-7db1-4236-a163-9e87b436eef6
13830,132,1,"2022-03-07 12:12:43","05400c9e-9a96-4e7a-b452-42b42e35eb23"
13831,386,1,"2022-03-07 12:19:46","0cb95ae3-302b-4c5a-8b1a-d694b1445413"
13832,325,-1,"2022-03-07 12:25:51","09f98dfe-3646-41dd-ac41-1931134e3d3f"
13833,378,-1,"2022-03-07 12:49:09","50533146-1f84-489f-8c28-2c05ce5d76d8"
13834,55,1,"2022-03-07 18:35:30","9935a0b5-2e03-48c7-9339-1ef58a7f1466"
13835,162,-1,"2022-03-07 18:42:24","357df58d-dc90-4550-9605-ea7d17348b68"
13836,67,0,"2022-03-07 18:48:36","616cd4b2-0c05-41c1-81d2-43676e75c87a"
13837,135,0,"2022-03-07 18:53:51","498a290e-6a1c-4f57-b90a-dab3ad89440e"
13838,32,-1,"2022-03-07 18:59:03","79f55d64-f56b-4a04-aa9b-13ed6dc366e2"
13839,45,0,"2022-03-07 19:04:19","4267d73a-c34a-4298-9e2e-642cb8e65440"
13840,46,1,"2022-03-07 19:09:33",c010566f-8d3a-4f88-9827-85d552d1db1f
13841,86,0,"2022-03-07 19:14:50","701b73c8-55c4-4ab8-b976-67c91c014af6"
13842,373,1,"2022-03-07 19:20:05","6422f542-8e10-46e1-8c7d-26a323754945"
13843,66,-1,"2022-03-07 19:25:21","75fec102-967b-405a-bb2b-67aeae9b6120"
13844,142,1,"2022-03-07 19:30:39","8a85eb2a-e678-4138-ae06-eaf08e7e1c1c"
13845,131,0,"2022-03-07 19:35:59","12fecc0e-7713-4b9f-af1a-8fb2a78bb9c0"
13846,337,0,"2022-03-07 19:41:23",c8fa9941-803f-4112-8dcb-03ddba71a29d
13847,42,-1,"2022-03-07 19:46:43","1fea1394-26e7-4e39-9fa1-e439a07dd8ed"
13848,322,0,"2022-03-07 20:27:52","57f0c43d-ea16-43c2-9ce1-742f5afd2374"
13849,120,-1,"2022-03-08 03:02:17",c407720c-fbab-4b06-bbb7-0531839b52ae
13850,90,-1,"2022-03-08 03:08:00","0d1b8683-2742-4c97-8f19-5ae9a5a22ecc"
13851,43,1,"2022-03-08 03:13:41",f6571ee5-b438-4352-8442-aceac953ee11
13852,300,-1,"2022-03-08 03:28:39",d1d07f6b-07e8-4e51-a3b6-73a191574acf
13853,46,0,"2022-03-08 03:41:53",b21421f2-3a87-4a41-8ae4-a1c6227099d6
13854,136,1,"2022-03-08 03:51:28",c98aee4c-960c-434d-8978-f04b589353f1
13855,303,0,"2022-03-08 03:57:11","84264ff8-67dc-4ac6-b561-f948c55d493d"
13856,318,0,"2022-03-08 04:07:44","5e3120ee-5e50-4ba8-892a-eeeb89155583"
13857,158,-1,"2022-03-08 04:13:48","38d9307d-133e-4161-8282-e13f8445fe5f"
13858,111,1,"2022-03-08 04:19:54","828d5829-ee71-4204-b2be-d429061c0df0"
13859,161,0,"2022-03-08 04:25:46","86e7e8db-30de-4006-93e2-9a80865b313d"
13860,99,0,"2022-03-08 04:31:19",c48f4c11-8faa-4fa4-8102-ca39b4c47ff7
13861,157,1,"2022-03-08 04:37:06","8ba0a7b4-fb20-4ab5-a13a-5f0291c411c6"
13862,102,1,"2022-03-08 04:42:45",c5e816f3-1e6b-4052-8628-a7cc7b1f7b1a
13863,139,-1,"2022-03-08 04:48:15","7c7fc6db-cdae-4705-b6d6-88c7993a7766"
13864,153,1,"2022-03-08 04:53:37",e19a703f-5d21-4e3f-af56-f3450643efc1
13865,140,0,"2022-03-08 04:59:04","49b58534-a936-4dbb-8627-a2d26880b7e2"
13866,300,1,"2022-03-08 05:16:20",e35aa425-3d1f-424e-b77f-9551b06ca5b2
13867,118,1,"2022-03-08 07:05:46","9e78a294-801e-4f1f-ad7b-009d32943994"
13868,154,1,"2022-03-08 10:15:16","6d62d6be-a1dd-4740-878d-a397af28395e"
13869,91,0,"2022-03-08 10:30:47","9e023443-c7c9-4dbf-9661-ca79be40ba3d"
13870,32,0,"2022-03-08 11:00:22",ebc2706f-bd9e-4005-940a-4c03fd48f1ef
13871,135,1,"2022-03-08 11:06:13","44989c3c-95e8-4b2d-98f5-80883578d313"
13872,20,1,"2022-03-08 11:15:49","5ceff25b-3130-4cc7-89f7-7dcc86841d28"
13873,391,-1,"2022-03-08 11:21:41","103723ca-1f9e-4928-bc1b-af04d2bd9227"
13874,116,1,"2022-03-08 11:27:59",e792ad49-f892-47e8-ac49-7dff6a79e046
13875,308,0,"2022-03-08 12:09:28","2946b7a9-5882-4286-98f9-a58a755d6037"
13876,55,0,"2022-03-08 12:23:23",d4bacead-cf37-4dbb-8048-ae041b7d8c95
13877,101,1,"2022-03-08 12:29:27","5a23a977-90ac-4941-a7b7-7ddcf43761cf"
13878,39,1,"2022-03-08 13:42:41",aa6d1309-ed82-4939-9e40-4a2124b1d893
13879,143,0,"2022-03-08 13:58:59",c0f858fc-7f32-480f-8821-2406e80f2e75
13880,377,1,"2022-03-08 14:12:17","71b84744-a813-4add-b56f-0fc0f02533e5"
13881,305,1,"2022-03-08 14:42:06","2efbaeab-eb13-484c-9363-2986a5f64a0b"
13882,29,1,"2022-03-08 14:59:12","8d6f5743-3306-40b7-a647-e4291a445795"
13883,391,1,"2022-03-08 16:58:51","4cb2fe06-8ce1-4f54-9517-3cd0edd6ee27"
13884,335,0,"2022-03-08 17:21:02",b39f9e80-4c47-47c7-a5cf-40496cc74619
13885,19,1,"2022-03-08 20:43:03","545a9d54-27cb-4928-88d1-90565dfad076"
13886,56,-1,"2022-03-08 21:12:30","303fdcb7-5d70-410c-9d9c-df7f54952f8f"
13887,359,-1,"2022-03-08 21:18:20",e0e1cdc2-bc5f-43f9-abb1-1c5e687172ad
13888,118,0,"2022-03-08 21:33:37","423a4734-c166-44bc-ab65-bbf17324a87a"
